2024/5/16 1:02 UPDATE
DATE,TIME,é¿ê—(ñúkW)
2024/1/9,4:00,1013
2024/1/9,5:00,1060
2024/1/9,6:00,1127
2024/1/9,7:00,1152
2024/1/9,8:00,1218
2024/1/9,9:00,1227
2024/1/9,10:00,1175
2024/1/9,11:00,1149
2024/1/9,12:00,1090
2024/1/9,13:00,1123
2024/1/9,14:00,1133
2024/1/9,15:00,1143
2024/1/9,16:00,1180
2024/1/9,17:00,1173
2024/1/9,18:00,1160
2024/1/9,19:00,1112
2024/1/9,20:00,1075
2024/1/9,21:00,1024
2024/1/9,22:00,960
2024/1/9,23:00,935
2024/1/10,0:00,909
2024/1/10,1:00,920
2024/1/10,2:00,951
2024/1/10,3:00,976
2024/1/10,4:00,998
2024/1/10,5:00,1036
2024/1/10,6:00,1094
2024/1/10,7:00,1128
2024/1/10,8:00,1213
2024/1/10,9:00,1226
2024/1/10,10:00,1213
2024/1/10,11:00,1193
2024/1/10,12:00,1135
2024/1/10,13:00,1163
2024/1/10,14:00,1165
2024/1/10,15:00,1184
2024/1/10,16:00,1241
2024/1/10,17:00,1249
2024/1/10,18:00,1233
2024/1/10,19:00,1190
2024/1/10,20:00,1151
2024/1/10,21:00,1101
2024/1/10,22:00,1031
2024/1/10,23:00,1011
2024/1/11,0:00,987
2024/1/11,1:00,998
2024/1/11,2:00,1021
2024/1/11,3:00,1032
2024/1/11,4:00,1057
2024/1/11,5:00,1101
2024/1/11,6:00,1172
2024/1/11,7:00,1201
2024/1/11,8:00,1267
2024/1/11,9:00,1288
2024/1/11,10:00,1229
2024/1/11,11:00,1197
2024/1/11,12:00,1118
2024/1/11,13:00,1132
2024/1/11,14:00,1109
2024/1/11,15:00,1121
2024/1/11,16:00,1190
2024/1/11,17:00,1236
2024/1/11,18:00,1240
2024/1/11,19:00,1202
2024/1/11,20:00,1167
2024/1/11,21:00,1115
2024/1/11,22:00,1046
2024/1/11,23:00,1027
2024/1/12,0:00,995
2024/1/12,1:00,1001
2024/1/12,2:00,1018
2024/1/12,3:00,1028
2024/1/12,4:00,1047
2024/1/12,5:00,1087
2024/1/12,6:00,1150
2024/1/12,7:00,1173
2024/1/12,8:00,1251
2024/1/12,9:00,1283
2024/1/12,10:00,1236
2024/1/12,11:00,1218
2024/1/12,12:00,1154
2024/1/12,13:00,1177
2024/1/12,14:00,1179
2024/1/12,15:00,1186
2024/1/12,16:00,1231
2024/1/12,17:00,1230
2024/1/12,18:00,1222
2024/1/12,19:00,1176
2024/1/12,20:00,1139
2024/1/12,21:00,1089
2024/1/12,22:00,1035
2024/1/12,23:00,1011
2024/1/13,0:00,987
2024/1/13,1:00,989
2024/1/13,2:00,999
2024/1/13,3:00,1009
2024/1/13,4:00,1017
2024/1/13,5:00,1031
2024/1/13,6:00,1048
2024/1/13,7:00,1067
2024/1/13,8:00,1118
2024/1/13,9:00,1129
2024/1/13,10:00,1109
2024/1/13,11:00,1086
2024/1/13,12:00,1048
2024/1/13,13:00,1041
2024/1/13,14:00,1038
2024/1/13,15:00,1076
2024/1/13,16:00,1119
2024/1/13,17:00,1180
2024/1/13,18:00,1173
2024/1/13,19:00,1145
2024/1/13,20:00,1110
2024/1/13,21:00,1060
2024/1/13,22:00,1004
2024/1/13,23:00,983
2024/1/14,0:00,955
2024/1/14,1:00,961
2024/1/14,2:00,971
2024/1/14,3:00,974
2024/1/14,4:00,972
2024/1/14,5:00,971
2024/1/14,6:00,974
2024/1/14,7:00,984
2024/1/14,8:00,987
2024/1/14,9:00,979
2024/1/14,10:00,947
2024/1/14,11:00,923
2024/1/14,12:00,903
2024/1/14,13:00,881
2024/1/14,14:00,870
2024/1/14,15:00,890
2024/1/14,16:00,956
2024/1/14,17:00,1041
2024/1/14,18:00,1058
2024/1/14,19:00,1047
2024/1/14,20:00,1022
2024/1/14,21:00,976
2024/1/14,22:00,909
2024/1/14,23:00,896
2024/1/15,0:00,875
2024/1/15,1:00,891
2024/1/15,2:00,917
2024/1/15,3:00,946
2024/1/15,4:00,986
2024/1/15,5:00,1055
2024/1/15,6:00,1123
2024/1/15,7:00,1167
2024/1/15,8:00,1271
2024/1/15,9:00,1304
2024/1/15,10:00,1281
2024/1/15,11:00,1272
2024/1/15,12:00,1225
2024/1/15,13:00,1254
2024/1/15,14:00,1256
2024/1/15,15:00,1290
2024/1/15,16:00,1333
2024/1/15,17:00,1362
2024/1/15,18:00,1349
2024/1/15,19:00,1309
2024/1/15,20:00,1261
2024/1/15,21:00,1205
2024/1/15,22:00,1128
2024/1/15,23:00,1109
2024/1/16,0:00,1067
2024/1/16,1:00,1083
2024/1/16,2:00,1101
2024/1/16,3:00,1113
2024/1/16,4:00,1141
2024/1/16,5:00,1195
2024/1/16,6:00,1270
2024/1/16,7:00,1298
2024/1/16,8:00,1371
2024/1/16,9:00,1423
2024/1/16,10:00,1391
2024/1/16,11:00,1370
2024/1/16,12:00,1301
2024/1/16,13:00,1334
2024/1/16,14:00,1333
2024/1/16,15:00,1354
2024/1/16,16:00,1368
2024/1/16,17:00,1376
2024/1/16,18:00,1349
2024/1/16,19:00,1305
2024/1/16,20:00,1239
2024/1/16,21:00,1173
2024/1/16,22:00,1084
2024/1/16,23:00,1046
2024/1/17,0:00,997
2024/1/17,1:00,1001
2024/1/17,2:00,1013
2024/1/17,3:00,1023
2024/1/17,4:00,1032
2024/1/17,5:00,1077
2024/1/17,6:00,1135
2024/1/17,7:00,1158
2024/1/17,8:00,1219
2024/1/17,9:00,1218
2024/1/17,10:00,1172
2024/1/17,11:00,1142
2024/1/17,12:00,1071
2024/1/17,13:00,1093
2024/1/17,14:00,1081
2024/1/17,15:00,1081
2024/1/17,16:00,1136
2024/1/17,17:00,1170
2024/1/17,18:00,1166
2024/1/17,19:00,1143
2024/1/17,20:00,1110
2024/1/17,21:00,1057
2024/1/17,22:00,993
2024/1/17,23:00,973
2024/1/18,0:00,945
2024/1/18,1:00,947
2024/1/18,2:00,966
2024/1/18,3:00,983
2024/1/18,4:00,997
2024/1/18,5:00,1033
2024/1/18,6:00,1084
2024/1/18,7:00,1118
2024/1/18,8:00,1212
2024/1/18,9:00,1236
2024/1/18,10:00,1192
2024/1/18,11:00,1161
2024/1/18,12:00,1097
2024/1/18,13:00,1121
2024/1/18,14:00,1111
2024/1/18,15:00,1116
2024/1/18,16:00,1152
2024/1/18,17:00,1156
2024/1/18,18:00,1140
2024/1/18,19:00,1101
2024/1/18,20:00,1058
2024/1/18,21:00,1004
2024/1/18,22:00,943
2024/1/18,23:00,918
2024/1/19,0:00,884
2024/1/19,1:00,896
2024/1/19,2:00,927
2024/1/19,3:00,951
2024/1/19,4:00,972
2024/1/19,5:00,1011
2024/1/19,6:00,1060
2024/1/19,7:00,1088
2024/1/19,8:00,1168
2024/1/19,9:00,1193
2024/1/19,10:00,1159
2024/1/19,11:00,1140
2024/1/19,12:00,1082
2024/1/19,13:00,1104
2024/1/19,14:00,1103
2024/1/19,15:00,1107
2024/1/19,16:00,1151
2024/1/19,17:00,1164
2024/1/19,18:00,1150
2024/1/19,19:00,1118
2024/1/19,20:00,1080
2024/1/19,21:00,1030
2024/1/19,22:00,979
2024/1/19,23:00,961
2024/1/20,0:00,929
2024/1/20,1:00,937
2024/1/20,2:00,956
2024/1/20,3:00,967
2024/1/20,4:00,976
2024/1/20,5:00,986
2024/1/20,6:00,1000
2024/1/20,7:00,1013
2024/1/20,8:00,1052
2024/1/20,9:00,1046
2024/1/20,10:00,1007
2024/1/20,11:00,972
2024/1/20,12:00,930
2024/1/20,13:00,925
2024/1/20,14:00,919
2024/1/20,15:00,928
2024/1/20,16:00,984
2024/1/20,17:00,1039
2024/1/20,18:00,1039
2024/1/20,19:00,1014
2024/1/20,20:00,983
2024/1/20,21:00,941
2024/1/20,22:00,895
2024/1/20,23:00,886
2024/1/21,0:00,860
2024/1/21,1:00,869
2024/1/21,2:00,892
2024/1/21,3:00,904
2024/1/21,4:00,910
2024/1/21,5:00,906
2024/1/21,6:00,895
2024/1/21,7:00,910
2024/1/21,8:00,961
2024/1/21,9:00,999
2024/1/21,10:00,993
2024/1/21,11:00,980
2024/1/21,12:00,965
2024/1/21,13:00,951
2024/1/21,14:00,938
2024/1/21,15:00,942
2024/1/21,16:00,980
2024/1/21,17:00,1022
2024/1/21,18:00,1025
2024/1/21,19:00,995
2024/1/21,20:00,958
2024/1/21,21:00,908
2024/1/21,22:00,847
2024/1/21,23:00,825
2024/1/22,0:00,805
2024/1/22,1:00,823
2024/1/22,2:00,850
2024/1/22,3:00,878
2024/1/22,4:00,903
2024/1/22,5:00,942
2024/1/22,6:00,988
2024/1/22,7:00,1020
2024/1/22,8:00,1113
2024/1/22,9:00,1149
2024/1/22,10:00,1118
2024/1/22,11:00,1105
2024/1/22,12:00,1051
2024/1/22,13:00,1089
2024/1/22,14:00,1092
2024/1/22,15:00,1099
2024/1/22,16:00,1128
2024/1/22,17:00,1120
2024/1/22,18:00,1102
2024/1/22,19:00,1060
2024/1/22,20:00,1014
2024/1/22,21:00,955
2024/1/22,22:00,895
2024/1/22,23:00,865
2024/1/23,0:00,830
2024/1/23,1:00,848
2024/1/23,2:00,879
2024/1/23,3:00,910
2024/1/23,4:00,937
2024/1/23,5:00,979
2024/1/23,6:00,1027
2024/1/23,7:00,1051
2024/1/23,8:00,1132
2024/1/23,9:00,1160
2024/1/23,10:00,1135
2024/1/23,11:00,1121
2024/1/23,12:00,1081
2024/1/23,13:00,1115
2024/1/23,14:00,1125
2024/1/23,15:00,1143
2024/1/23,16:00,1179
2024/1/23,17:00,1209
2024/1/23,18:00,1204
2024/1/23,19:00,1172
2024/1/23,20:00,1141
2024/1/23,21:00,1094
2024/1/23,22:00,1050
2024/1/23,23:00,1030
2024/1/24,0:00,999
2024/1/24,1:00,1009
2024/1/24,2:00,1036
2024/1/24,3:00,1051
2024/1/24,4:00,1070
2024/1/24,5:00,1115
2024/1/24,6:00,1171
2024/1/24,7:00,1193
2024/1/24,8:00,1281
2024/1/24,9:00,1322
2024/1/24,10:00,1310
2024/1/24,11:00,1285
2024/1/24,12:00,1230
2024/1/24,13:00,1263
2024/1/24,14:00,1248
2024/1/24,15:00,1268
2024/1/24,16:00,1286
2024/1/24,17:00,1308
2024/1/24,18:00,1304
2024/1/24,19:00,1264
2024/1/24,20:00,1223
2024/1/24,21:00,1167
2024/1/24,22:00,1098
2024/1/24,23:00,1071
2024/1/25,0:00,1033
2024/1/25,1:00,1049
2024/1/25,2:00,1070
2024/1/25,3:00,1085
2024/1/25,4:00,1108
2024/1/25,5:00,1168
2024/1/25,6:00,1229
2024/1/25,7:00,1236
2024/1/25,8:00,1321
2024/1/25,9:00,1366
2024/1/25,10:00,1340
2024/1/25,11:00,1319
2024/1/25,12:00,1250
2024/1/25,13:00,1275
2024/1/25,14:00,1267
2024/1/25,15:00,1292
2024/1/25,16:00,1314
2024/1/25,17:00,1344
2024/1/25,18:00,1328
2024/1/25,19:00,1279
2024/1/25,20:00,1234
2024/1/25,21:00,1175
2024/1/25,22:00,1105
2024/1/25,23:00,1076
2024/1/26,0:00,1033
2024/1/26,1:00,1038
2024/1/26,2:00,1051
2024/1/26,3:00,1062
2024/1/26,4:00,1075
2024/1/26,5:00,1115
2024/1/26,6:00,1179
2024/1/26,7:00,1195
2024/1/26,8:00,1271
2024/1/26,9:00,1300
2024/1/26,10:00,1262
2024/1/26,11:00,1237
2024/1/26,12:00,1175
2024/1/26,13:00,1200
2024/1/26,14:00,1197
2024/1/26,15:00,1209
2024/1/26,16:00,1231
2024/1/26,17:00,1241
2024/1/26,18:00,1220
2024/1/26,19:00,1177
2024/1/26,20:00,1137
2024/1/26,21:00,1083
2024/1/26,22:00,1019
2024/1/26,23:00,1000
2024/1/27,0:00,967
2024/1/27,1:00,976
2024/1/27,2:00,986
2024/1/27,3:00,993
2024/1/27,4:00,992
2024/1/27,5:00,997
2024/1/27,6:00,1015
2024/1/27,7:00,1026
2024/1/27,8:00,1057
2024/1/27,9:00,1059
2024/1/27,10:00,1035
2024/1/27,11:00,1018
2024/1/27,12:00,984
2024/1/27,13:00,976
2024/1/27,14:00,956
2024/1/27,15:00,963
2024/1/27,16:00,1011
2024/1/27,17:00,1082
2024/1/27,18:00,1089
2024/1/27,19:00,1068
2024/1/27,20:00,1038
2024/1/27,21:00,997
2024/1/27,22:00,945
2024/1/27,23:00,938
2024/1/28,0:00,916
2024/1/28,1:00,924
2024/1/28,2:00,946
2024/1/28,3:00,964
2024/1/28,4:00,965
2024/1/28,5:00,967
2024/1/28,6:00,975
2024/1/28,7:00,968
2024/1/28,8:00,973
2024/1/28,9:00,963
2024/1/28,10:00,936
2024/1/28,11:00,918
2024/1/28,12:00,896
2024/1/28,13:00,893
2024/1/28,14:00,881
2024/1/28,15:00,897
2024/1/28,16:00,952
2024/1/28,17:00,1041
2024/1/28,18:00,1060
2024/1/28,19:00,1051
2024/1/28,20:00,1027
2024/1/28,21:00,985
2024/1/28,22:00,919
2024/1/28,23:00,908
2024/1/29,0:00,886
2024/1/29,1:00,907
2024/1/29,2:00,935
2024/1/29,3:00,957
2024/1/29,4:00,979
2024/1/29,5:00,1037
2024/1/29,6:00,1112
2024/1/29,7:00,1134
2024/1/29,8:00,1199
2024/1/29,9:00,1218
2024/1/29,10:00,1176
2024/1/29,11:00,1146
2024/1/29,12:00,1081
2024/1/29,13:00,1095
2024/1/29,14:00,1091
2024/1/29,15:00,1097
2024/1/29,16:00,1139
2024/1/29,17:00,1169
2024/1/29,18:00,1167
2024/1/29,19:00,1136
2024/1/29,20:00,1098
2024/1/29,21:00,1044
2024/1/29,22:00,983
2024/1/29,23:00,960
2024/1/30,0:00,933
2024/1/30,1:00,953
2024/1/30,2:00,979
2024/1/30,3:00,994
2024/1/30,4:00,1012
2024/1/30,5:00,1068
2024/1/30,6:00,1136
2024/1/30,7:00,1141
2024/1/30,8:00,1189
2024/1/30,9:00,1197
2024/1/30,10:00,1149
2024/1/30,11:00,1115
2024/1/30,12:00,1053
2024/1/30,13:00,1076
2024/1/30,14:00,1069
2024/1/30,15:00,1068
2024/1/30,16:00,1102
2024/1/30,17:00,1149
2024/1/30,18:00,1152
2024/1/30,19:00,1128
2024/1/30,20:00,1094
2024/1/30,21:00,1043
2024/1/30,22:00,986
2024/1/30,23:00,971
2024/1/31,0:00,947
2024/1/31,1:00,962
2024/1/31,2:00,988
2024/1/31,3:00,1001
2024/1/31,4:00,1022
2024/1/31,5:00,1065
2024/1/31,6:00,1125
2024/1/31,7:00,1140
2024/1/31,8:00,1194
2024/1/31,9:00,1206
2024/1/31,10:00,1170
2024/1/31,11:00,1126
2024/1/31,12:00,1043
2024/1/31,13:00,1046
2024/1/31,14:00,1036
2024/1/31,15:00,1031
2024/1/31,16:00,1066
2024/1/31,17:00,1096
2024/1/31,18:00,1095
2024/1/31,19:00,1075
2024/1/31,20:00,1042
2024/1/31,21:00,986
2024/1/31,22:00,927
2024/1/31,23:00,902
2024/2/1,0:00,870
2024/2/1,1:00,884
2024/2/1,2:00,907
2024/2/1,3:00,928
2024/2/1,4:00,947
2024/2/1,5:00,981
2024/2/1,6:00,1026
2024/2/1,7:00,1056
2024/2/1,8:00,1125
2024/2/1,9:00,1166
2024/2/1,10:00,1154
2024/2/1,11:00,1147
2024/2/1,12:00,1099
2024/2/1,13:00,1148
2024/2/1,14:00,1159
2024/2/1,15:00,1199
2024/2/1,16:00,1241
2024/2/1,17:00,1290
2024/2/1,18:00,1289
2024/2/1,19:00,1246
2024/2/1,20:00,1202
2024/2/1,21:00,1143
2024/2/1,22:00,1076
2024/2/1,23:00,1047
2024/2/2,0:00,1017
2024/2/2,1:00,1024
2024/2/2,2:00,1040
2024/2/2,3:00,1044
2024/2/2,4:00,1057
2024/2/2,5:00,1093
2024/2/2,6:00,1162
2024/2/2,7:00,1191
2024/2/2,8:00,1266
2024/2/2,9:00,1278
2024/2/2,10:00,1244
2024/2/2,11:00,1210
2024/2/2,12:00,1152
2024/2/2,13:00,1179
2024/2/2,14:00,1180
2024/2/2,15:00,1196
2024/2/2,16:00,1241
2024/2/2,17:00,1269
2024/2/2,18:00,1255
2024/2/2,19:00,1217
2024/2/2,20:00,1175
2024/2/2,21:00,1119
2024/2/2,22:00,1046
2024/2/2,23:00,1026
2024/2/3,0:00,985
2024/2/3,1:00,985
2024/2/3,2:00,1001
2024/2/3,3:00,1005
2024/2/3,4:00,1007
2024/2/3,5:00,1011
2024/2/3,6:00,1029
2024/2/3,7:00,1034
2024/2/3,8:00,1068
2024/2/3,9:00,1074
2024/2/3,10:00,1039
2024/2/3,11:00,1013
2024/2/3,12:00,973
2024/2/3,13:00,970
2024/2/3,14:00,963
2024/2/3,15:00,973
2024/2/3,16:00,1024
2024/2/3,17:00,1083
2024/2/3,18:00,1093
2024/2/3,19:00,1075
2024/2/3,20:00,1045
2024/2/3,21:00,1005
2024/2/3,22:00,954
2024/2/3,23:00,945
2024/2/4,0:00,913
2024/2/4,1:00,919
2024/2/4,2:00,937
2024/2/4,3:00,945
2024/2/4,4:00,944
2024/2/4,5:00,933
2024/2/4,6:00,938
2024/2/4,7:00,943
2024/2/4,8:00,964
2024/2/4,9:00,953
2024/2/4,10:00,919
2024/2/4,11:00,897
2024/2/4,12:00,882
2024/2/4,13:00,860
2024/2/4,14:00,856
2024/2/4,15:00,879
2024/2/4,16:00,942
2024/2/4,17:00,1028
2024/2/4,18:00,1048
2024/2/4,19:00,1036
2024/2/4,20:00,1009
2024/2/4,21:00,963
2024/2/4,22:00,893
2024/2/4,23:00,884
2024/2/5,0:00,867
2024/2/5,1:00,888
2024/2/5,2:00,915
2024/2/5,3:00,935
2024/2/5,4:00,957
2024/2/5,5:00,998
2024/2/5,6:00,1069
2024/2/5,7:00,1119
2024/2/5,8:00,1215
2024/2/5,9:00,1258
2024/2/5,10:00,1243
2024/2/5,11:00,1237
2024/2/5,12:00,1200
2024/2/5,13:00,1241
2024/2/5,14:00,1239
2024/2/5,15:00,1267
2024/2/5,16:00,1287
2024/2/5,17:00,1318
2024/2/5,18:00,1313
2024/2/5,19:00,1278
2024/2/5,20:00,1232
2024/2/5,21:00,1165
2024/2/5,22:00,1083
2024/2/5,23:00,1047
2024/2/6,0:00,1007
2024/2/6,1:00,1013
2024/2/6,2:00,1029
2024/2/6,3:00,1046
2024/2/6,4:00,1070
2024/2/6,5:00,1118
2024/2/6,6:00,1187
2024/2/6,7:00,1209
2024/2/6,8:00,1303
2024/2/6,9:00,1333
2024/2/6,10:00,1295
2024/2/6,11:00,1268
2024/2/6,12:00,1192
2024/2/6,13:00,1214
2024/2/6,14:00,1206
2024/2/6,15:00,1203
2024/2/6,16:00,1231
2024/2/6,17:00,1256
2024/2/6,18:00,1250
2024/2/6,19:00,1215
2024/2/6,20:00,1177
2024/2/6,21:00,1117
2024/2/6,22:00,1043
2024/2/6,23:00,1023
2024/2/7,0:00,992
2024/2/7,1:00,1006
2024/2/7,2:00,1034
2024/2/7,3:00,1050
2024/2/7,4:00,1073
2024/2/7,5:00,1119
2024/2/7,6:00,1196
2024/2/7,7:00,1208
2024/2/7,8:00,1260
2024/2/7,9:00,1263
2024/2/7,10:00,1212
2024/2/7,11:00,1183
2024/2/7,12:00,1120
2024/2/7,13:00,1140
2024/2/7,14:00,1135
2024/2/7,15:00,1141
2024/2/7,16:00,1181
2024/2/7,17:00,1209
2024/2/7,18:00,1210
2024/2/7,19:00,1181
2024/2/7,20:00,1145
2024/2/7,21:00,1090
2024/2/7,22:00,1018
2024/2/7,23:00,995
2024/2/8,0:00,964
2024/2/8,1:00,977
2024/2/8,2:00,999
2024/2/8,3:00,1015
2024/2/8,4:00,1031
2024/2/8,5:00,1071
2024/2/8,6:00,1135
2024/2/8,7:00,1148
2024/2/8,8:00,1218
2024/2/8,9:00,1224
2024/2/8,10:00,1191
2024/2/8,11:00,1169
2024/2/8,12:00,1106
2024/2/8,13:00,1135
2024/2/8,14:00,1132
2024/2/8,15:00,1140
2024/2/8,16:00,1177
2024/2/8,17:00,1204
2024/2/8,18:00,1203
2024/2/8,19:00,1171
2024/2/8,20:00,1130
2024/2/8,21:00,1065
2024/2/8,22:00,995
2024/2/8,23:00,975
2024/2/9,0:00,937
2024/2/9,1:00,951
2024/2/9,2:00,976
2024/2/9,3:00,992
2024/2/9,4:00,1008
2024/2/9,5:00,1050
2024/2/9,6:00,1112
2024/2/9,7:00,1123
2024/2/9,8:00,1182
2024/2/9,9:00,1192
2024/2/9,10:00,1162
2024/2/9,11:00,1137
2024/2/9,12:00,1073
2024/2/9,13:00,1097
2024/2/9,14:00,1096
2024/2/9,15:00,1104
2024/2/9,16:00,1140
2024/2/9,17:00,1167
2024/2/9,18:00,1159
2024/2/9,19:00,1130
2024/2/9,20:00,1101
2024/2/9,21:00,1055
2024/2/9,22:00,1004
2024/2/9,23:00,993
2024/2/10,0:00,970
2024/2/10,1:00,980
2024/2/10,2:00,998
2024/2/10,3:00,1012
2024/2/10,4:00,1019
2024/2/10,5:00,1032
2024/2/10,6:00,1051
2024/2/10,7:00,1035
2024/2/10,8:00,1038
2024/2/10,9:00,1016
2024/2/10,10:00,966
2024/2/10,11:00,927
2024/2/10,12:00,897
2024/2/10,13:00,896
2024/2/10,14:00,894
2024/2/10,15:00,914
2024/2/10,16:00,962
2024/2/10,17:00,1024
2024/2/10,18:00,1031
2024/2/10,19:00,1015
2024/2/10,20:00,991
2024/2/10,21:00,957
2024/2/10,22:00,922
2024/2/10,23:00,913
2024/2/11,0:00,891
2024/2/11,1:00,909
2024/2/11,2:00,933
2024/2/11,3:00,945
2024/2/11,4:00,949
2024/2/11,5:00,945
2024/2/11,6:00,943
2024/2/11,7:00,931
2024/2/11,8:00,931
2024/2/11,9:00,923
2024/2/11,10:00,894
2024/2/11,11:00,883
2024/2/11,12:00,867
2024/2/11,13:00,856
2024/2/11,14:00,855
2024/2/11,15:00,873
2024/2/11,16:00,928
2024/2/11,17:00,1022
2024/2/11,18:00,1046
2024/2/11,19:00,1040
2024/2/11,20:00,1020
2024/2/11,21:00,988
2024/2/11,22:00,932
2024/2/11,23:00,925
2024/2/12,0:00,908
2024/2/12,1:00,921
2024/2/12,2:00,944
2024/2/12,3:00,963
2024/2/12,4:00,976
2024/2/12,5:00,1000
2024/2/12,6:00,1026
2024/2/12,7:00,1027
2024/2/12,8:00,1045
2024/2/12,9:00,1033
2024/2/12,10:00,996
2024/2/12,11:00,972
2024/2/12,12:00,940
2024/2/12,13:00,935
2024/2/12,14:00,929
2024/2/12,15:00,943
2024/2/12,16:00,997
